date,rolling_average_cases_per_100k_centered,region
2021-03-11,15.666651714316211,Nationwide
2021-03-12,16.206414345434307,Nationwide
2021-03-13,16.071582493216614,Nationwide
2021-03-14,16.085422560681177,Nationwide
2021-03-15,16.08063511596073,Nationwide
2021-03-16,16.04729709181652,Nationwide
2021-03-17,15.646544446490331,Nationwide
2021-03-18,15.827988601395296,Nationwide
2021-03-19,15.315253271835362,Nationwide
2021-03-20,15.466275391653118,Nationwide
2021-03-21,17.2924679413802,Nationwide
2021-03-22,17.431173271598983,Nationwide
2021-03-23,18.2166188613255,Nationwide
2021-03-24,18.60366200586132,Nationwide
2021-03-25,19.20944785189686,Nationwide
2021-03-26,19.792732707746296,Nationwide
2021-03-27,19.804266097300104,Nationwide
2021-03-28,18.957758826275512,Nationwide
2021-03-29,19.571683328335816,Nationwide
2021-03-30,19.29945181264128,Nationwide
2021-03-31,19.516932369623788,Nationwide
2021-04-01,18.90196333416993,Nationwide
2021-04-02,19.05476986520168,Nationwide
2021-04-03,19.879298412736933,Nationwide
2021-04-04,19.6949817909997,Nationwide
2021-04-05,19.83364359899376,Nationwide
2021-04-06,20.28631825842444,Nationwide
2021-04-07,20.433466900241108,Nationwide
2021-04-08,20.66613671365485,Nationwide
2021-04-09,20.606467743548187,Nationwide
2021-04-10,20.716100227646432,Nationwide
2021-04-11,20.76253844143477,Nationwide
2021-04-12,20.60242017664817,Nationwide
2021-04-13,20.52220871646831,Nationwide
2021-04-14,20.497401048371447,Nationwide
2021-04-15,20.44600130096373,Nationwide
2021-04-16,20.26050957915876,Nationwide
2021-04-17,19.25479801006692,Nationwide
2021-04-18,19.083755666872747,Nationwide
2021-04-19,18.57028045949238,Nationwide
2021-04-20,17.95705231302778,Nationwide
2021-04-21,17.292598508054393,Nationwide
2021-04-22,16.973362989650006,Nationwide
2021-04-23,16.733599053605047,Nationwide
2021-04-24,16.462368549079326,Nationwide
2021-04-25,15.779591887494044,Nationwide
2021-04-26,15.496740948965057,Nationwide
2021-04-27,15.096597614785104,Nationwide
2021-04-28,14.9546716399362,Nationwide
2021-04-29,14.642791377511408,Nationwide
2021-04-30,14.334436415289854,Nationwide
2021-05-01,14.130404225749324,Nationwide
2021-05-02,13.693092911648808,Nationwide
2021-05-03,13.21099722829974,Nationwide
2021-05-04,12.844191918263991,Nationwide
